die,Woche,week,Nächste Woche habe ich Urlaub.,Time,Beginner,1
das,Jahr,year,Dieses Jahr war sehr ereignisreich.,Time,Beginner,2
der,Lehrer,teacher,Der Lehrer erklärt die Grammatik.,Education,Beginner,0
die,Lehrerin,teacher (female),Die Lehrerin ist sehr geduldig.,Education,Beginner,1
das,Zimmer,room,Mein Zimmer ist hell und gemütlich.,Buildings,Beginner,2
der,Computer,computer,Der Computer ist abgestürzt.,Technology,Beginner,0
die,Uhr,clock/watch,Die Uhr an der Wand geht falsch.,Objects,Beginner,1
der,Markt,market,Wir kaufen frisches Gemüse auf dem Markt.,Shopping,Beginner,0
die,Tasche,bag/pocket,Sie trägt eine schwere Tasche.,Fashion,Beginner,1
das,Handy,cell phone,Ich habe mein Handy zu Hause vergessen.,Technology,Beginner,2
der,Bus,bus,Der Bus kommt in fünf Minuten.,Transport,Beginner,0
die,Bahn,train/railway,Die Bahn hat heute leider Verspätung.,Transport,Beginner,1
das,Fahrrad,bicycle,Ich fahre mit dem Fahrrad zur Arbeit.,Transport,Beginner,2
der,Wald,forest,Im Wald ist die Luft sehr frisch.,Nature,Beginner,0
die,Luft,air,Die Luft in den Bergen ist sehr sauber.,Nature,Beginner,1
das,Meer,sea/ocean,Wir verbringen den Urlaub am Meer.,Nature,Beginner,2
der,See,lake,Im Sommer schwimmen wir gerne im See.,Nature,Beginner,0
die,Küche,kitchen,Die Küche ist das Herz des Hauses.,Buildings,Beginner,1
das,Bad,bathroom,Das Bad wurde vor kurzem renoviert.,Buildings,Beginner,2
der,Garten,garden,Wir grillen heute im Garten.,Buildings,Beginner,0
die,Garage,garage,Das Auto steht sicher in der Garage.,Buildings,Beginner,1
das,Dach,roof,Das Dach des Hauses ist rot.,Buildings,Intermediate,2
der,Flur,hallway,Die Schuhe stehen im Flur.,Buildings,Beginner,0
die,Wohnung,apartment,Unsere neue Wohnung hat drei Zimmer.,Buildings,Beginner,1
das,Büro,office,Ich arbeite heute im Büro.,Professional,Beginner,2
der,Chef,boss,Mein Chef ist heute sehr beschäftigt.,Professional,Beginner,0
die,Kollegin,colleague (female),Meine Kollegin hilft mir bei dem Projekt.,Professional,Beginner,1
das,Projekt,project,Das Projekt muss bis Freitag fertig sein.,Professional,Intermediate,2
der,Termin,appointment,Ich habe um 10 Uhr einen Termin.,Professional,Beginner,0
die,Besprechung,meeting,Die Besprechung findet im Konferenzraum statt.,Professional,Intermediate,1
das,Telefon,telephone,Das Telefon klingelt schon den ganzen Tag.,Technology,Beginner,2
der,Brief,letter,Ich schreibe einen Brief an meine Oma.,Communication,Beginner,0
die,E-Mail,e-mail,Ich habe dir eine E-Mail geschickt.,Communication,Beginner,1
das,Paket,parcel/package,Der Postbote bringt ein großes Paket.,Communication,Beginner,2
der,Name,name,Wie ist Ihr Name bitte?,General,Beginner,0
die,Adresse,address,Kennen Sie die Adresse vom Hotel?,General,Beginner,1
das,Land,country/land,Deutschland ist ein schönes Land.,Geography,Beginner,2
der,Fluss,river,Der Fluss fließt durch die Stadt.,Nature,Beginner,0
die,Insel,island,Die Insel ist nur mit dem Boot erreichbar.,Geography,Intermediate,1
das,Dorf,village,Das Leben im Dorf ist sehr ruhig.,Places,Beginner,2
der,Himmel,sky,Der Himmel ist heute wolkenlos.,Nature,Beginner,0
die,Wolke,cloud,Eine dunkle Wolke verdeckt die Sonne.,Nature,Beginner,1
das,Wetter,weather,Das Wetter ist heute wirklich herrlich.,Nature,Beginner,2
der,Regen,rain,Bei Regen bleibe ich lieber im Haus.,Nature,Beginner,0
die,Sonne,sun,Die Sonne geht im Osten auf.,Nature,Beginner,1
das,Eis,ice/ice cream,Im Sommer essen Kinder gerne Eis.,Food,Beginner,2
der,Kuchen,cake,Zum Geburtstag gibt es einen Kuchen.,Food,Beginner,0
die,Tasse,cup,Ich trinke eine Tasse Tee.,Kitchen,Beginner,1
das,Glas,glass,Das Glas ist leider zerbrochen.,Kitchen,Beginner,2
der,Teller,plate,Stell den Teller bitte auf den Tisch.,Kitchen,Beginner,0
die,Pfanne,pan,Die Pfanne ist noch sehr heiß.,Kitchen,Beginner,1
das,Salz,salt,In der Suppe fehlt noch etwas Salz.,Food,Beginner,2
der,Pfeffer,pepper,Der Pfeffer macht das Essen scharf.,Food,Beginner,0
die,Suppe,suppe,Die Suppe schmeckt hervorragend.,Food,Beginner,1
das,Fleisch,meat,Er isst kein Fleisch, er ist Vegetarier.,Food,Beginner,2
der,Fisch,fish,Der Fisch schwimmt im Wasser.,Animals,Beginner,0
die,Milch,milk,Die Milch steht im Kühlschrank.,Drinks,Beginner,1
der,Mantel,coat,Im Winter trage ich einen warmen Mantel.,Clothing,Beginner,0
die,Jacke,jacket,Zieh dir eine Jacke an, es ist kühl.,Clothing,Beginner,1
das,Hemd,shirt,Er trägt ein weißes Hemd zur Hochzeit.,Clothing,Beginner,2
der,Rock,skirt,Der Rock passt gut zu der Bluse.,Clothing,Beginner,0
die,Hose,trousers/pants,Die Hose ist mir ein bisschen zu lang.,Clothing,Beginner,1
das,Kleid,dress,Das rote Kleid steht ihr ausgezeichnet.,Clothing,Beginner,2
der,Schuh,shoe,Ich muss mir ein neues Paar Schuhe kaufen.,Clothing,Beginner,0
die,Mütze,hat/cap,Das Kind trägt eine blaue Mütze.,Clothing,Beginner,1
das,T-Shirt,T-shirt,Im Sommer trage ich am liebsten ein T-Shirt.,Clothing,Beginner,2
der,Gürtel,belt,Der Gürtel ist aus echtem Leder.,Clothing,Intermediate,0
die,Brille,glasses,Ohne meine Brille kann ich nichts lesen.,Objects,Beginner,1
das,Auge,eye,Sie hat blaue Augen.,Body,Beginner,2
der,Arm,arm,Mein Arm tut nach dem Sport weh.,Body,Beginner,0
die,Nase,nose,Seine Nase ist rot vor Kälte.,Body,Beginner,1
das,Ohr,ear,Hör gut zu und spitze deine Ohren.,Body,Beginner,2
der,Mund,mouth,Mach bitte den Mund weit auf.,Body,Beginner,0
die,Schulter,shoulder,Er klopft ihm freundschaftlich auf die Schulter.,Body,Intermediate,1
das,Bein,leg,Nach dem Wandern sind meine Beine schwer.,Body,Beginner,2
der,Fuß,foot,Ich gehe den ganzen Weg zu Fuß.,Body,Beginner,0
die,Haut,skin,Sonnenschutz ist wichtig für die Haut.,Body,Intermediate,1
das,Haar,hair,Sie hat sehr lange, dunkle Haare.,Body,Beginner,2
der,Finger,finger,Er zeigt mit dem Finger auf das Bild.,Body,Beginner,0
die,Zunge,tongue,Man sollte niemandem die Zunge rausstrecken.,Body,Intermediate,1
das,Herz,heart,Mein Herz schlägt heute sehr schnell.,Body,Beginner,2
der,Körper,body,Sport ist gut für den ganzen Körper.,Body,Beginner,0
die,Gesundheit,health,Gesundheit ist das wichtigste im Leben.,Medical,Intermediate,1
das,Krankenhaus,hospital,Er liegt seit drei Tagen im Krankenhaus.,Medical,Beginner,2
der,Arzt,doctor,Der Arzt untersucht den Patienten.,Medical,Beginner,0
die,Ärztin,doctor (female),Die Ärztin verschreibt ein Medikament.,Medical,Beginner,1
das,Medikament,medicine,Dieses Medikament muss man morgens nehmen.,Medical,Intermediate,2
der,Koffer,suitcase,Ich habe meinen Koffer noch nicht gepackt.,Travel,Beginner,0
die,Reise,journey/trip,Gute Reise und komm gesund zurück!,Travel,Beginner,1
das,Ticket,ticket,Hast du das Ticket für den Zug schon?,Travel,Beginner,2
der,Bahnhof,train station,Wir treffen uns am Haupteingang vom Bahnhof.,Travel,Beginner,0
die,Flughafen,airport,Der Flughafen ist weit außerhalb der Stadt.,Travel,Beginner,1
das,Flugzeug,airplane,Das Flugzeug landet pünktlich in Berlin.,Travel,Beginner,2
der,Urlaub,vacation/holiday,Wir machen diesen Sommer Urlaub in Spanien.,Travel,Beginner,0
die,Taschenlampe,flashlight,Im Keller ist es dunkel, nimm die Taschenlampe.,Objects,Intermediate,1
das,Zelt,tent,Wir schlafen beim Camping in einem Zelt.,Leisure,Beginner,2
der,Pass,passport,Vergiss nicht, deinen Pass mitzunehmen.,Travel,Beginner,0
die,Grenze,border,Wir überqueren morgen die Grenze.,Geography,Intermediate,1
das,Gepäck,luggage,Wir müssen unser Gepäck am Schalter abgeben.,Travel,Intermediate,2
der,Besuch,visit/visitor,Wir erwarten heute Nachmittag Besuch.,People,Beginner,0
die,Heimat,homeland,Er vermisst seine alte Heimat sehr.,General,Intermediate,1
das,Geschenk,gift/present,Vielen Dank für das schöne Geschenk!,Social,Beginner,2
der,Schmuck,jewelry,Der Schmuck ist sehr wertvoll.,Fashion,Intermediate,0
die,Kette,necklace/chain,Sie trägt eine goldene Kette.,Fashion,Beginner,1
das,Gold,gold,Der Ring ist aus purem Gold.,Materials,Intermediate,2
der,Ring,ring,Er trägt den Ring am linken Finger.,Fashion,Beginner,0
die,Silber,silver,Das Besteck ist aus echtem Silber.,Materials,Intermediate,1
article,german_word,english_meaning,example_sentence,category,difficulty,gender_code
der,Supermarkt,supermarket,Ich gehe im Supermarkt einkaufen.,Shopping,Beginner,0
die,Bäckerei,bakery,Die Bäckerei verkauft frische Brötchen.,Shopping,Beginner,1
das,Geschäft,shop/business,Das Geschäft schließt um 18 Uhr.,Shopping,Beginner,2
der,Preis,price,Der Preis für das Obst ist gestiegen.,Shopping,Beginner,0
die,Rechnung,bill/invoice,Können wir bitte die Rechnung bezahlen?,Shopping,Beginner,1
das,Angebot,offer,Das ist ein sehr günstiges Angebot.,Shopping,Intermediate,2
der,Rabatt,discount,Gibt es auf diese Schuhe einen Rabatt?,Shopping,Intermediate,0
die,Kasse,cash desk/till,Bitte zahlen Sie an der Kasse.,Shopping,Beginner,1
das,Wechselgeld,change (money),Vergessen Sie Ihr Wechselgeld nicht.,Shopping,Intermediate,2
der,Kunde,customer,Der Kunde möchte den Manager sprechen.,Professional,Beginner,0
die,Kundin,customer (female),Die Kundin ist mit dem Service zufrieden.,Professional,Beginner,1
das,Plakat,poster,An der Wand hängt ein buntes Plakat.,Media,Beginner,2
der,Stift,pen,Hast du einen Stift für mich?,Objects,Beginner,0
die,Tinte,ink,Die Tinte im Füller ist leer.,Objects,Intermediate,1
das,Papier,paper,Schreiben Sie den Namen auf ein Blatt Papier.,Objects,Beginner,2
der,Block,notepad,Ich notiere mir die Termine in einen Block.,Objects,Beginner,0
die,Mappe,folder,Alle Dokumente liegen in der blauen Mappe.,Office,Intermediate,1
das,Heft,notebook,Das Kind schreibt die Hausaufgaben ins Heft.,Education,Beginner,2
der,Unterricht,lesson/class,Der Unterricht beginnt pünktlich um acht.,Education,Beginner,0
die,Pause,break,In der Pause spielen die Kinder Fußball.,Education,Beginner,1
das,Studium,studies (university),Das Studium dauert insgesamt fünf Jahre.,Education,Intermediate,2
der,Student,student (male),Der Student lernt in der Bibliothek.,Education,Beginner,0
die,Studentin,student (female),Die Studentin schreibt ihre Abschlussarbeit.,Education,Beginner,1
das,Wissen,knowledge,Sein Wissen über Geschichte ist beeindruckend.,Education,Intermediate,2
der,Fehler,mistake,In dem Text ist ein kleiner Fehler.,Education,Beginner,0
die,Lösung,solution,Hast du schon eine Lösung für das Problem?,General,Intermediate,1
das,Ergebnis,result,Das Ergebnis der Prüfung war sehr gut.,Education,Intermediate,2
der,Erfolg,success,Ich wünsche dir viel Erfolg bei der Arbeit.,General,Intermediate,0
die,Angst,fear,Er hat große Angst vor Spinnen.,Emotions,Beginner,1
das,Glück,luck/happiness,Ich wünsche dir viel Glück für die Zukunft.,Emotions,Beginner,2
der,Spaß,fun,Das Spiel macht den Kindern viel Spaß.,Emotions,Beginner,0
die,Freude,joy,Es ist mir eine große Freude, Sie zu sehen.,Emotions,Intermediate,1
das,Gefühl,feeling,Ich habe ein gutes Gefühl bei dieser Sache.,Emotions,Intermediate,2
der,Hass,hate,Hass ist kein guter Ratgeber.,Emotions,Advanced,0
die,Liebe,love,Die Liebe zwischen den beiden ist groß.,Emotions,Beginner,1
das,Mitleid,pity/compassion,Sie empfand großes Mitleid mit dem Bettler.,Emotions,Intermediate,2
der,Zorn,anger,Sein Zorn war in diesem Moment spürbar.,Emotions,Advanced,0
die,Geduld,patience,Man braucht viel Geduld beim Angeln.,Emotions,Intermediate,1
das,Vertrauen,trust,Vertrauen ist die Basis jeder Beziehung.,Social,Intermediate,2
der,Morgen,morning,Am Morgen trinke ich immer einen Saft.,Time,Beginner,0
die,Mittagspause,lunch break,Wir gehen zusammen in die Mittagspause.,Time,Beginner,1
das,Abendessen,dinner,Zum Abendessen gibt es heute Salat.,Food,Beginner,2
der,Vormittag,late morning,Ich rufe dich am Vormittag an.,Time,Beginner,0
die,Stunde,hour,Der Film dauert zwei Stunden.,Time,Beginner,1
das,Wochenende,weekend,Was machst du am Wochenende?,Time,Beginner,2
der,Monat,month,Der Februar ist der kürzeste Monat.,Time,Beginner,0
die,Minute,minute,Warten Sie bitte eine Minute.,Time,Beginner,1
das,Datum,date,Welches Datum haben wir heute?,Time,Beginner,2
der,Kalender,calendar,Ich trage den Termin in den Kalender ein.,Objects,Beginner,0
die,Zukunft,future,Niemand weiß, was die Zukunft bringt.,Time,Intermediate,1
der,Kühlschrank,refrigerator,Die Milch steht im Kühlschrank.,Kitchen,Beginner,0
die,Spülmaschine,dishwasher,Ich muss die Spülmaschine noch ausräumen.,Kitchen,Beginner,1
das,Spülbecken,sink,Das Geschirr liegt noch im Spülbecken.,Kitchen,Intermediate,2
der,Herd,stove,Der Topf steht auf dem Herd.,Kitchen,Beginner,0
die,Mikrowelle,microwave,Ich mache das Essen in der Mikrowelle warm.,Kitchen,Beginner,1
das,Radio,radio,Im Radio läuft gerade gute Musik.,Media,Beginner,2
der,Fernseher,television,Der Fernseher ist schon wieder kaputt.,Media,Beginner,0
die,Fernbedienung,remote control,Wo liegt die Fernbedienung für den Fernseher?,Objects,Intermediate,1
das,Kopfkissen,pillow,Ich brauche ein weiches Kopfkissen zum Schlafen.,Home,Intermediate,2
der,Vorhang,curtain,Zieh bitte den Vorhang zu.,Home,Intermediate,0
die,Decke,blanket/ceiling,Im Winter brauche ich eine dicke Decke.,Home,Beginner,1
das,Handtuch,towel,Häng das nasse Handtuch bitte auf.,Home,Beginner,2
der,Spiegel,mirror,Sie betrachtet sich im Spiegel.,Home,Beginner,0
die,Seife,soap,Wasch dir die Hände mit Seife.,Hygiene,Beginner,1
das,Shampoo,shampoo,Mein Shampoo riecht nach Kokosnuss.,Hygiene,Beginner,2
der,Föhn,hairdryer,Ich trockne meine Haare mit dem Föhn.,Hygiene,Beginner,0
die,Bürste,brush,Wo ist meine Bürste für die Haare?,Hygiene,Beginner,1
das,Parfüm,perfume,Das Parfüm riecht sehr angenehm.,Hygiene,Intermediate,2
der,Müll,garbage/trash,Bringst du bitte den Müll raus?,Home,Beginner,0
die,Tonne,bin/barrel,Die blaue Tonne ist für Papier.,Home,Intermediate,1
das,Werkzeug,tool,Er hat sein ganzes Werkzeug im Keller.,Work,Intermediate,2
der,Hammer,hammer,Ich schlage den Nagel mit dem Hammer ein.,Work,Beginner,0
die,Säge,saw,Er schneidet das Holz mit der Säge.,Work,Intermediate,1
das,Schloss,lock/castle,Das Schloss an der Tür ist verrostet.,Objects,Intermediate,2
der,Maler,painter,Der Maler streicht die Wände weiß.,Professional,Beginner,0
die,Malerin,painter (female),Die Malerin stellt ihre Bilder aus.,Professional,Beginner,1
das,Bild,picture/painting,Das Bild hängt schief an der Wand.,Art,Beginner,2
der,Rahmen,frame,Das Foto passt perfekt in den Rahmen.,Art,Intermediate,0
die,Farbe,color/paint,Blau ist meine absolute Lieblingsfarbe.,Art,Beginner,1
das,Lied,song,Dieses Lied erinnert mich an meinen Urlaub.,Music,Beginner,2
der,Sänger,singer (male),Der Sänger hat eine wunderschöne Stimme.,Music,Beginner,0
die,Sängerin,singer (female),Die Sängerin gibt heute ein Konzert.,Music,Beginner,1
das,Konzert,concert,Wir haben Karten für das Konzert am Freitag.,Music,Beginner,2
der,Schnee,snow,Im Winter liegt in den Bergen viel Schnee.,Nature,Beginner,0
die,Kälte,coldness,Die Kälte ist heute kaum auszuhalten.,Nature,Intermediate,1
das,Feuer,fire,Wir machen im Kamin ein Feuer an.,Nature,Beginner,2
der,Wind,wind,Der Wind bläst heute sehr stark.,Nature,Beginner,0
die,Luftfeuchtigkeit,humidity,Die Luftfeuchtigkeit im Dschungel ist hoch.,Nature,Advanced,1
das,Gewitter,thunderstorm,Bei einem Gewitter sollte man zu Hause bleiben.,Nature,Intermediate,2
der,Blitz,lightning,Ein heller Blitz erleuchtete den Himmel.,Nature,Intermediate,0
die,Donner,thunder,Nach dem Blitz hörte man den Donner.,Nature,Intermediate,1
das,Lagerfeuer,campfire,Wir sitzen abends gemütlich am Lagerfeuer.,Leisure,Intermediate,2
der,Schatten,shadow,Im Sommer suchen wir den Schatten.,Nature,Intermediate,0
die,Wärme,warmth,Ich genieße die Wärme der Frühlingssonne.,Nature,Intermediate,1
das,Klima,climate,Das Klima verändert sich weltweit.,Nature,Intermediate,2
der,Müllwagen,garbage truck,Der Müllwagen kommt immer am Dienstag.,Transport,Intermediate,0
die,Polizei,police,Rufen Sie im Notfall die Polizei.,Social,Beginner,1
das,Auto,car,Mein Auto muss in die Werkstatt.,Transport,Beginner,2
der,LKW,truck,Der LKW transportiert schwere Waren.,Transport,Intermediate,0
die,Ampel,traffic light,Die Ampel springt gerade auf Grün.,Transport,Beginner,1
der,Vertrag,contract,Er unterschreibt den neuen Arbeitsvertrag.,Legal,Intermediate,0
die,Steuer,tax,Wir müssen jedes Jahr die Steuer zahlen.,Finance,Intermediate,1
das,Gesetz,law,Man muss sich an das Gesetz halten.,Legal,Intermediate,2
der,Anwalt,lawyer,Der Anwalt berät seinen Mandanten.,Professional,Intermediate,0
die,Anwältin,lawyer (female),Die Anwältin vertritt sie vor Gericht.,Professional,Intermediate,1
das,Gericht,court/dish,Das Gericht verkündet heute das Urteil.,Legal,Intermediate,2
der,Richter,judge,Der Richter prüft alle Beweise.,Legal,Intermediate,0
die,Polizistin,police officer (female),Die Polizistin regelt den Verkehr.,Social,Beginner,1
das,Gefängnis,prison,Der Dieb muss für zwei Jahre ins Gefängnis.,Legal,Intermediate,2
der,Dieb,thief,Der Dieb stahl die goldene Uhr.,Social,Intermediate,0
die,Sicherheit,safety/security,Sicherheit geht im Straßenverkehr vor.,Social,Intermediate,1
das,Risiko,risk,Er möchte kein unnötiges Risiko eingehen.,General,Intermediate,2
der,Grund,reason,Das ist der Grund für meine Entscheidung.,General,Beginner,0
die,Ursache,cause,Die Ursache des Feuers ist noch unklar.,General,Intermediate,1
das,Ziel,goal/target,Wir haben unser Ziel fast erreicht.,General,Beginner,2
der,Plan,plan,Ich habe einen guten Plan für morgen.,General,Beginner,0
die,Idee,idea,Das ist eine wirklich großartige Idee.,General,Beginner,1
das,Problem,problem,Wir müssen eine Lösung für das Problem finden.,General,Beginner,2
der,Vorteil,advantage,Ein großer Vorteil ist die zentrale Lage.,General,Intermediate,0
die,Gefahr,danger,In den Bergen besteht oft Lawinengefahr.,General,Intermediate,1
das,Verbot,prohibition,Hier gilt ein absolutes Rauchverbot.,Legal,Intermediate,2
der,Eindruck,impression,Der erste Eindruck ist oft entscheidend.,General,Intermediate,0
die,Meinung,opinion,Jeder hat ein Recht auf seine eigene Meinung.,Social,Beginner,1
das,Thema,topic,Das Thema der heutigen Stunde ist Grammatik.,Education,Beginner,2
der,Text,text,Lies bitte den Text auf Seite zehn.,Education,Beginner,0
die,Sprache,language,Deutsch ist eine sehr logische Sprache.,Education,Beginner,1
das,Wort,word,Ich kenne die Bedeutung von diesem Wort nicht.,Education,Beginner,2
der,Satz,sentence,Schreibe einen Satz mit dem Wort Apfel.,Education,Beginner,0
die,Grammatik,grammar,Die deutsche Grammatik ist manchmal schwer.,Education,Intermediate,1
das,Alphabet,alphabet,Das Alphabet hat sechsundzwanzig Buchstaben.,Education,Beginner,2
der,Buchstabe,letter (alphabet),Sein Name fängt mit dem Buchstaben M an.,Education,Beginner,0
die,Zahl,number,Die Zahl der Teilnehmer ist gestiegen.,General,Beginner,1
das,Zeichen,sign/symbol,Das ist ein Zeichen für den Frühling.,General,Intermediate,2
der,Punkt,point/dot,Am Ende des Satzes steht ein Punkt.,Education,Beginner,0
die,Linie,line,Zeichnen Sie bitte eine gerade Linie.,General,Beginner,1
das,Format,format,Dieses Format passt nicht in den Drucker.,Office,Intermediate,2
der,Drucker,printer,Der Drucker braucht eine neue Patrone.,Office,Beginner,0
die,Tastatur,keyboard,Ich schreibe sehr schnell auf der Tastatur.,Technology,Beginner,1
das,Kabel,cable,Das Kabel ist leider zu kurz.,Technology,Beginner,2
der,Bildschirm,screen/monitor,Der Bildschirm ist sehr hell eingestellt.,Technology,Beginner,0
die,Maus,mouse (animal/tech),Meine Maus funktioniert nicht mehr richtig.,Technology,Beginner,1
das,Netzwerk,network,Das Netzwerk ist im Moment überlastet.,Technology,Intermediate,2
der,Server,server,Der Server wird heute Nacht gewartet.,Technology,Intermediate,0
die,Software,software,Diese Software muss aktualisiert werden.,Technology,Intermediate,1
das,Passwort,password,Du darfst dein Passwort niemandem verraten.,Technology,Beginner,2
der,Besucher,visitor,Der Besucher kommt aus den USA.,People,Beginner,0
die,Besucherin,visitor (female),Die Besucherin unterschreibt im Gästebuch.,People,Beginner,1
das,Gespräch,conversation,Wir hatten ein sehr langes Gespräch.,Communication,Beginner,2
der,Witz,joke,Er hat uns einen lustigen Witz erzählt.,Social,Beginner,0
die,Geschichte,story/history,Opa erzählt uns oft eine Geschichte.,General,Beginner,1
der,Sport,sport,Ich treibe zweimal pro Woche Sport.,Leisure,Beginner,0
die,Mannschaft,team,Unsere Mannschaft hat das Spiel gewonnen.,Sports,Intermediate,1
das,Spiel,game/match,Das Spiel endet unentschieden.,Sports,Beginner,2
der,Ball,ball,Der Junge wirft den Ball über den Zaun.,Sports,Beginner,0
die,Regel,rule,Man muss die Regeln des Spiels beachten.,General,Beginner,1
das,Training,training/workout,Das Training war heute sehr anstrengend.,Sports,Beginner,2
der,Trainer,coach/trainer,Der Trainer gibt Anweisungen vom Spielfeldrand.,Sports,Beginner,0
die,Trainerin,coach (female),Unsere Trainerin ist sehr streng aber fair.,Sports,Beginner,1
das,Stadion,stadium,Das Stadion ist bis auf den letzten Platz gefüllt.,Sports,Intermediate,2
der,Sieg,victory/win,Wir feiern den wichtigen Sieg.,Sports,Intermediate,0
die,Niederlage,defeat,Man muss auch eine Niederlage akzeptieren können.,Sports,Intermediate,1
das,Tor,gate/goal,Er schoss in der letzten Minute ein Tor.,Sports,Beginner,2
der,Schiedsrichter,referee,Der Schiedsrichter pfeift das Spiel ab.,Sports,Intermediate,0
die,Pfeife,whistle/pipe,Der Lehrer benutzt eine Pfeife beim Schulsport.,Objects,Intermediate,1
das,Hobby,hobby,Fotografieren ist mein liebstes Hobby.,Leisure,Beginner,2
der,Verein,club/association,Er ist Mitglied in einem Fußballverein.,Social,Intermediate,0
die,Mitgliedschaft,membership,Die Mitgliedschaft kostet fünfzig Euro im Jahr.,Social,Intermediate,1
das,Kino,cinema,Gehen wir heute Abend ins Kino?,Leisure,Beginner,2
der,Film,movie,Der Film war sehr spannend bis zum Ende.,Media,Beginner,0
die,Kamera,camera,Die Kamera macht sehr scharfe Fotos.,Technology,Beginner,1
das,Foto,photo,Darf ich ein Foto von dir machen?,Media,Beginner,2
der,Urlaub,vacation,Ich brauche dringend zwei Wochen Urlaub.,Travel,Beginner,0
die,Postkarte,postcard,Ich schreibe eine Postkarte aus dem Urlaub.,Communication,Beginner,1
das,Andenken,souvenir,Das ist ein schönes Andenken an die Reise.,Travel,Intermediate,2
der,Wunsch,wish,Hast du einen besonderen Wunsch zum Geburtstag?,General,Beginner,0
die,Hoffnung,hope,Die Hoffnung stirbt zuletzt.,Emotions,Intermediate,1
das,Traum,dream,Ich hatte gestern einen seltsamen Traum.,Emotions,Beginner,2
der,Schlaf,sleep,Ausreichend Schlaf ist wichtig für die Gesundheit.,Body,Beginner,0
die,Müdigkeit,tiredness,Die Müdigkeit überkam ihn während der Fahrt.,Body,Intermediate,1
das,Bett,bed,Ich gehe jetzt direkt ins Bett.,Home,Beginner,2
der,Wecker,alarm clock,Der Wecker klingelt jeden Morgen um sechs.,Objects,Beginner,0
die,Wäsche,laundry,Ich muss heute noch die Wäsche waschen.,Home,Beginner,1
das,Bügeleisen,iron,Vorsicht, das Bügeleisen ist noch heiß.,Home,Intermediate,2
der,Staubsauger,vacuum cleaner,Der Staubsauger macht viel Lärm.,Home,Beginner,0
